ID,Width,Height,Tiles,Grids,Ports,TagPos
0,1,1,(0.0),(0.0);(1.1),a;a,0;0
1,2,1,(0.0);(0.1),(0.2);(1.0),a;a,0;0
2,3,1,(0.0);(0.1);(0.2),(0.0);(0.3),a;a,0;0
3,2,1,(0.0);(0.1),(0.0);(0.2);(1.0);(1.2),a;b;b;a,0;0
4,3,1,(0.0);(0.1);(0.2),(0.0);(0.3);(1.0);(1.3),a;a;b;b,0;0
5,1,1,(0.0),(0.0);(1.0),a;a,0;0
6,2,1,(0.0);(0.1),(1.0);(1.2),a;a,0;0
7,2,2,(0.0);(0.1);(1.1),(0.2);(1.0);(2.1),a;a;a,0.45;0.15
8,1,1,(0.0),(0.0);(1.1),a*n;a,0;0
9,2,1,(0.0);(0.1),(0.0);(0.2);(1.0);(1.2),a;a*n;a;n*a,0;0
10,1,2,(0.0);(1.0),(0.0);(2.0),a;a+n,0;0
