ID,Desc,Conditions,Stages
0,시작의 회로,,10011;10012;10013;10014;10015;10016;10017;10018
1,두 개의 전류,,10019;10020;10021;10022
2,길을 막는 것,,10025;10026;10027;10028;10029;10030;10031;10032;10033;10034;10035
3,섞어버리기,,20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011
4,시작의 회로 고급,,20012;20013;20014;20015;20016;20017;20018;20019
5,돌아가는 블록,,20020;20021;20022;20023;20024;20025;20026;20027;20028
6,준비중,5,
7,준비중,6,
8,Cable_Test,,10031
9,Rotate_Test,,10031
10,Tutorial_Studio,,10099
11,BIC_DEMO,,10011;10012;10013;10014;10015;10016;10017;10018;10019;10020;10021;10022;10025;10026;10027;10028;10029;10030;10031;10032;10033;10034;10035;20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;20013;20020;20021;20022;20024;20025;10099
12,BIC_OFFLINE,,20029;10011;10012;10013;10028;10026;10030;20001;20002;20020;20021;20003;20008;20010;20022;20024;20011;10099
13,test,,20031;20030;20032
