ID,Width,Height,Desc,Inputs,Outputs,Blocks,Rotate,Flip
0,5,4,DEMO - CIRCUIT #1,(1.1):X,(1.3):~X,0,,
1,6,4,DEMO - CIRCUIT #2,(3.1):X,(1.5):~X,0;3,,
2,6,4,DEMO - CIRCUIT #3,(4.2):X,(1.5):X,0;4,,
3,6,4,DEMO - CIRCUIT #4,(4.1):X,(0.1):X,3;0,0,
4,6,4,DEMO - CIRCUIT #5,(1.0):X;(4.2):Y,(2.2):~X;(4.6):Y,0;3;1,,
5,6,4,DEMO - CIRCUIT #6,(2.0):X;(4.2):Y,(1.5):~(Y+X),0;1;4,1,
6,6,4,DEMO - CIRCUIT #7,(1.4):Y;(2.3):X,(2.5):(~X)+Y,1;7;4,0;1,
7,6,4,DEMO - CIRCUIT #8,(1.3):X,(2.6):X;(3.2):X,0;3;5;2,,2
8,6,4,DEMO - CIRCUIT #9,(2.0):X;(3.0):Y,(1.5):X+Y,7;2;1,0;1,
9,6,4,DEMO - CIRCUIT #10,(3.2):X,(2.2):X;(3.0):X;(3.3):X,1;1;6;0,0,1
10,8,6,DEMO - FINAL CIRCUIT,(0.3):X;(0.7):Y,(2.4):X;(4.1):X+Y,0;0;0;3;2;5;5;3,3;7,5
99,10,10,,(1.1):X;(1.2):Y,(2.2):X;(2.3):X;(2.4):X;(2.5):X,1,,

100,5,4,CIRCUIT 0-#01,(1.1):X,(1.3):~X,0,,
101,6,4,CIRCUIT 0-#02,(3.1):X,(1.5):~X,0;3,,
102,6,4,CIRCUIT 0-#03,(2.2):X,(1.2):~X,0;4,,
103,6,4,CIRCUIT 0-#04,(4.1):X,(0.1):X,3;0,0,
104,6,4,CIRCUIT 0-#05,(1.0):X;(4.2):Y,(2.2):~X;(4.6):Y,0;3;1,,
105,6,4,CIRCUIT 0-#06,(1.6):Y;(3.0):X,(3.2):X+Y,1;3,,
106,6,4,CIRCUIT 0-#07,(2.0):X;(3.0):Y,(1.5):X+Y,7;2;1,0;1,
107,6,4,CIRCUIT 0-#08,(1.3):X,(2.6):X;(3.2):X,0;3;5;2,,2
108,6,4,CIRCUIT 0-#09,(1.4):X,(3.1):X,5;6,,
109,6,4,CIRCUIT 0-FINAL,(3.2):X,(2.2):X;(3.0):X;(3.3):X,1;1;6;0,0,1

110,6,4,CIRCUIT 1-#01,(1.1):Y;(4.1):X,(3.5):(~X)+Y,0;1;3,,
111,6,4,CIRCUIT 1-#02,(2.2):X,(4.3):~X,5;0,0,
112,6,4,CIRCUIT 1-#03,(2.0):X;(4.2):Y,(1.5):~(Y+X),0;1;4,1,
113,6,4,CIRCUIT 1-#04,(1.4):Y;(2.3):X,(2.5):(~X)+Y,1;7;4,0;1,
114,6,4,CIRCUIT 1-#05,(1.2):X,(0.3):~X,0;6;3,1;2,
115,7,5,CIRCUIT 1-#06,(1.4):X;(3.2):Y,(0.1):(~X)+(~Y),1;2;4,,
116,7,5,CIRCUIT 1-#07,(0.0):X;(0.5):Y,(3.1):X;(5.6):~Y,0;3;3;7,,
117,7,6,CIRCUIT 1-#08,(1.1):Y;(4.5):X,(1.4):~(X*Y);(1.6):X*Y,0;2;3;5,2,
118,7,6,CIRCUIT 1-FINAL,(1.1):X+Y,(6.1):X+(~Y);(5.3):Y;(5.6):~Y,1;3;3;4;6,0;4,

120,6,4,CIRCUIT 2-#01,(1.2):X,(1.4):X,0;1;5,,2
121,6,4,CIRCUIT 2-#02,(1.2):X+Y,(0.5):~X,1;2;3,2,0
122,6,4,CIRCUIT 2-#03,(0.5):X,(1.0):X;(3.3):~X,0;0;4,,2
123,6,4,CIRCUIT 2-#04,(0.4):Y;(3.5):~X,(1.2):~X;(2.2):Y,0;5;6,1,2
124,7,5,CIRCUIT 2-#05,(1.7):X*Y,(3.3):X;(5.5):~X,0;4;6;7,,1
125,7,5,CIRCUIT 2-#06,(0.7):X,(0.3):X;(2.2):X;(4.2):X,0;0;3;5;6,2;4,3
126,7,5,CIRCUIT 2-#07,(1.2):X,(5.6):X,0;3;3;4,1;2,3
127,7,6,CIRCUIT 2-FINAL,(2.2):Y;(2.7):X,(5.0):Y+X,0;0;1;3;5,4,
